STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00045064,29,34.6538,-120.4513,20100101,0.07,0.21,0.55,0.10,0.0,0.10,0.0,244,171,71,30,0,0,0,0,0,0,0,0,0,52.1,21.0,62.6,41.6,4.7,8.3,6.4,6.2
GHCND:USC00045064,29,34.6538,-120.4513,20100102,0.08,0.21,0.56,0.20,0.0,0.20,0.0,244,172,72,30,0,0,0,0,0,0,0,0,0,52.2,21.0,62.7,41.7,4.7,8.3,6.4,6.2
GHCND:USC00045064,29,34.6538,-120.4513,20100103,0.08,0.21,0.56,0.30,0.0,0.30,0.0,243,172,72,31,0,0,0,0,0,0,0,0,0,52.2,21.0,62.7,41.7,4.7,8.4,6.4,6.2
GHCND:USC00045064,29,34.6538,-120.4513,20100104,0.08,0.22,0.57,0.40,0.0,0.40,0.0,243,173,73,31,0,0,0,0,0,0,0,0,0,52.3,21.0,62.8,41.8,4.7,8.4,6.4,6.2
GHCND:USC00045064,29,34.6538,-120.4513,20100105,0.08,0.22,0.57,0.50,0.0,0.50,0.0,242,173,73,32,0,0,0,0,0,0,0,0,0,52.3,21.0,62.8,41.8,4.7,8.4,6.4,6.2
GHCND:USC00045064,29,34.6538,-120.4513,20100106,0.08,0.22,0.58,0.59,0.0,0.59,0.0,241,173,74,32,0,0,0,0,0,0,0,0,0,52.4,21.0,62.9,41.9,4.7,8.4,6.4,6.3
GHCND:USC00045064,29,34.6538,-120.4513,20100107,0.08,0.23,0.58,0.69,0.0,0.69,0.0,240,173,74,32,0,0,0,0,0,0,0,0,0,52.4,21.1,63.0,41.9,4.7,8.4,6.4,6.3
GHCND:USC00045064,29,34.6538,-120.4513,20100108,0.08,0.23,0.58,0.80,0.0,0.80,0.0,239,173,74,32,0,0,0,0,0,0,0,0,0,52.5,21.1,63.0,42.0,4.7,8.4,6.4,6.3
GHCND:USC00045064,29,34.6538,-120.4513,20100109,0.08,0.23,0.59,0.90,0.0,0.90,0.0,238,173,75,33,0,0,0,0,0,0,0,0,0,52.5,21.1,63.1,42.0,4.7,8.4,6.4,6.3
GHCND:USC00045064,29,34.6538,-120.4513,20100110,0.08,0.23,0.59,1.01,0.0,1.01,0.0,238,172,75,33,0,0,0,0,0,0,0,0,0,52.6,21.1,63.1,42.0,4.7,8.4,6.4,6.3
